campaign,date,site,survey_time
1,2020-12-02T00:00:00Z,1_land,night
1,2020-12-02T00:00:00Z,1_water,night
1,2020-12-02T00:00:00Z,2_land,night
1,2020-12-02T00:00:00Z,2_water,night
1,2020-12-03T00:00:00Z,2_land,day
1,2020-12-03T00:00:00Z,1_water,day
1,2020-12-03T00:00:00Z,1_land,day
1,2020-12-03T00:00:00Z,1_land,night
1,2020-12-03T00:00:00Z,1_water,night
1,2020-12-03T00:00:00Z,2_water,night
1,2020-12-04T00:00:00Z,2_water,day
1,2020-12-04T00:00:00Z,2_land,day
1,2020-12-04T00:00:00Z,1_water,day
1,2020-12-04T00:00:00Z,1_land,day
1,2020-12-04T00:00:00Z,1_land,night
1,2020-12-04T00:00:00Z,1_water,night
1,2020-12-04T00:00:00Z,2_water,night
1,2020-12-04T00:00:00Z,2_land,night
1,2020-12-05T00:00:00Z,4_land,day
1,2020-12-05T00:00:00Z,4_land,night
1,2020-12-05T00:00:00Z,4_water,night
1,2020-12-05T00:00:00Z,3_water,night
1,2020-12-05T00:00:00Z,3_land,night
1,2020-12-06T00:00:00Z,3_water,day
1,2020-12-06T00:00:00Z,3_water,night
1,2020-12-06T00:00:00Z,3_land,night
1,2020-12-06T00:00:00Z,4_water,night
1,2020-12-06T00:00:00Z,4_land,night
1,2020-12-07T00:00:00Z,4_water,day
1,2020-12-07T00:00:00Z,4_water,night
1,2020-12-07T00:00:00Z,4_land,night
1,2020-12-07T00:00:00Z,3_water,night
1,2020-12-07T00:00:00Z,3_land,night
1,2020-12-08T00:00:00Z,6_land,day
1,2020-12-08T00:00:00Z,6_land,night
1,2020-12-08T00:00:00Z,6_water,night
1,2020-12-08T00:00:00Z,5_land,night
1,2020-12-08T00:00:00Z,5_water,night
1,2020-12-09T00:00:00Z,5_water,day
1,2020-12-09T00:00:00Z,5_water,night
1,2020-12-09T00:00:00Z,5_land,night
1,2020-12-09T00:00:00Z,6_land,night
1,2020-12-09T00:00:00Z,6_water,night
1,2020-12-10T00:00:00Z,5_land,day
1,2020-12-10T00:00:00Z,5_land,night
1,2020-12-10T00:00:00Z,5_water,night
1,2020-12-10T00:00:00Z,6_land,night
1,2020-12-10T00:00:00Z,6_water,night
1,2020-12-11T00:00:00Z,8_water,day
1,2020-12-11T00:00:00Z,8_water,night
1,2020-12-11T00:00:00Z,8_land,night
1,2020-12-11T00:00:00Z,7_land,night
1,2020-12-11T00:00:00Z,7_water,night
1,2020-12-12T00:00:00Z,1_water,night
1,2020-12-12T00:00:00Z,1_land,night
1,2020-12-12T00:00:00Z,9_land,night
1,2020-12-12T00:00:00Z,9_water,night
1,2020-12-12T00:00:00Z,lago_anta_water,night
1,2020-12-13T00:00:00Z,extra_trilha_olho dagua_land,day
1,2020-12-13T00:00:00Z,lago_sede_water,night
1,2020-12-13T00:00:00Z,extra_po�a_tempor�ria_water,night
1,2020-12-14T00:00:00Z,lago_angelim_water,night
1,2020-12-15T00:00:00Z,lago_minutal_water,night
2,2021-02-10T00:00:00Z,1_water,day
2,2021-02-10T00:00:00Z,1_land,night
2,2021-02-10T00:00:00Z,1_water,night
2,2021-02-10T00:00:00Z,2_water,night
2,2021-02-10T00:00:00Z,2_land,night
2,2021-02-11T00:00:00Z,1_water,day
2,2021-02-11T00:00:00Z,1_land,night
2,2021-02-11T00:00:00Z,1_water,night
2,2021-02-11T00:00:00Z,2_water,night
2,2021-02-11T00:00:00Z,2_land,night
2,2021-02-12T00:00:00Z,1_water,day
2,2021-02-12T00:00:00Z,1_land,night
2,2021-02-12T00:00:00Z,1_water,night
2,2021-02-12T00:00:00Z,2_water,night
2,2021-02-12T00:00:00Z,2_land,night
2,2021-02-13T00:00:00Z,4_land,day
2,2021-02-13T00:00:00Z,4_land,night
2,2021-02-13T00:00:00Z,4_water,night
2,2021-02-13T00:00:00Z,3_land,night
2,2021-02-13T00:00:00Z,3_water,night
2,2021-02-14T00:00:00Z,4_water,day
2,2021-02-14T00:00:00Z,4_land,night
2,2021-02-14T00:00:00Z,4_water,night
2,2021-02-14T00:00:00Z,3_land,night
2,2021-02-14T00:00:00Z,3_water,night
2,2021-02-15T00:00:00Z,4_water,day
2,2021-02-15T00:00:00Z,4_water,night
2,2021-02-15T00:00:00Z,4_land,night
2,2021-02-15T00:00:00Z,3_land,night
2,2021-02-15T00:00:00Z,3_water,night
2,2021-02-16T00:00:00Z,6_water,night
2,2021-02-16T00:00:00Z,6_land,night
2,2021-02-16T00:00:00Z,5_land,night
2,2021-02-16T00:00:00Z,5_water,night
2,2021-02-17T00:00:00Z,6_water,night
2,2021-02-17T00:00:00Z,6_land,night
2,2021-02-17T00:00:00Z,5_land,night
2,2021-02-17T00:00:00Z,5_water,night
2,2021-02-18T00:00:00Z,5_water,day
2,2021-02-18T00:00:00Z,6_water,night
2,2021-02-18T00:00:00Z,6_land,night
2,2021-02-18T00:00:00Z,5_land,night
2,2021-02-18T00:00:00Z,5_water,night
2,2021-02-19T00:00:00Z,8_water,night
2,2021-02-19T00:00:00Z,8_land,night
2,2021-02-19T00:00:00Z,7_land,night
2,2021-02-19T00:00:00Z,7_water,night
2,2021-02-20T00:00:00Z,9_water,day
2,2021-02-20T00:00:00Z,9_water,night
2,2021-02-20T00:00:00Z,9_land,night
2,2021-02-20T00:00:00Z,1_land,night
2,2021-02-20T00:00:00Z,1_water,night
3,2021-06-17T00:00:00Z,1_water,night
3,2021-06-17T00:00:00Z,1_land,night
3,2021-06-17T00:00:00Z,2_water,night
3,2021-06-17T00:00:00Z,2_land,night
3,2021-06-18T00:00:00Z,1_land,night
3,2021-06-18T00:00:00Z,1_water,night
3,2021-06-18T00:00:00Z,2_water,night
3,2021-06-18T00:00:00Z,2_land,night
3,2021-06-19T00:00:00Z,1_water,day
3,2021-06-19T00:00:00Z,1_land,night
3,2021-06-19T00:00:00Z,1_water,night
3,2021-06-19T00:00:00Z,2_water,night
3,2021-06-19T00:00:00Z,2_land,night
3,2021-06-20T00:00:00Z,3_water,day
3,2021-06-20T00:00:00Z,3_water,night
3,2021-06-20T00:00:00Z,3_land,night
3,2021-06-20T00:00:00Z,4_water,night
3,2021-06-20T00:00:00Z,4_land,night
4,2021-07-27T00:00:00Z,1_land,night
4,2021-07-27T00:00:00Z,1_water,night
4,2021-07-27T00:00:00Z,2_water,night
4,2021-07-27T00:00:00Z,2_land,night
4,2021-07-28T00:00:00Z,1_land,night
4,2021-07-28T00:00:00Z,1_water,night
4,2021-07-28T00:00:00Z,2_water,night
4,2021-07-28T00:00:00Z,2_land,night
4,2021-07-29T00:00:00Z,1_land,night
4,2021-07-29T00:00:00Z,1_water,night
4,2021-07-29T00:00:00Z,2_water,night
4,2021-07-29T00:00:00Z,2_land,night
4,2021-07-30T00:00:00Z,3_water,day
4,2021-07-30T00:00:00Z,3_water,night
4,2021-07-30T00:00:00Z,3_land,night
4,2021-07-30T00:00:00Z,4_water,night
4,2021-07-30T00:00:00Z,4_land,night
4,2021-07-31T00:00:00Z,3_water,day
4,2021-07-31T00:00:00Z,3_water,night
4,2021-07-31T00:00:00Z,3_land,night
4,2021-07-31T00:00:00Z,4_water,night
4,2021-07-31T00:00:00Z,4_land,night
4,2021-08-01T00:00:00Z,4_water,night
4,2021-08-01T00:00:00Z,4_land,night
4,2021-08-01T00:00:00Z,3_land,night
4,2021-08-01T00:00:00Z,3_water,night
4,2021-08-02T00:00:00Z,6_water,night
4,2021-08-02T00:00:00Z,6_land,night
4,2021-08-02T00:00:00Z,lago_angelim_water,night
4,2021-08-02T00:00:00Z,5_land,night
4,2021-08-03T00:00:00Z,6_water,night
4,2021-08-03T00:00:00Z,6_land,night
4,2021-08-03T00:00:00Z,5_land,night
4,2021-08-03T00:00:00Z,5_water,night
4,2021-08-03T00:00:00Z,lago_sede_water,night
4,2021-08-04T00:00:00Z,5_water,night
4,2021-08-04T00:00:00Z,6_water,night
4,2021-08-04T00:00:00Z,6_land,night
4,2021-08-05T00:00:00Z,8_water,night
4,2021-08-05T00:00:00Z,8_land,night
4,2021-08-05T00:00:00Z,7_land,night
4,2021-08-05T00:00:00Z,7_water,night
4,2021-08-06T00:00:00Z,9_water,night
4,2021-08-06T00:00:00Z,1_land,night
4,2021-08-06T00:00:00Z,1_water,night
4,2021-08-06T00:00:00Z,lago_anta_water,night
5,2021-09-13T00:00:00Z,1_water,day
5,2021-09-13T00:00:00Z,1_water,night
5,2021-09-13T00:00:00Z,1_land,night
5,2021-09-13T00:00:00Z,2_water,night
5,2021-09-13T00:00:00Z,2_land,night
5,2021-09-14T00:00:00Z,1_water,day
5,2021-09-14T00:00:00Z,1_water,night
5,2021-09-14T00:00:00Z,1_land,night
5,2021-09-14T00:00:00Z,2_water,night
5,2021-09-14T00:00:00Z,2_land,night
5,2021-09-15T00:00:00Z,1_water,day
5,2021-09-15T00:00:00Z,1_water,night
5,2021-09-15T00:00:00Z,1_land,night
5,2021-09-15T00:00:00Z,2_water,night
5,2021-09-15T00:00:00Z,2_land,night
5,2021-09-16T00:00:00Z,3_water,day
5,2021-09-16T00:00:00Z,3_water,night
5,2021-09-16T00:00:00Z,3_land,night
5,2021-09-16T00:00:00Z,4_water,night
5,2021-09-16T00:00:00Z,4_land,night
5,2021-09-17T00:00:00Z,4_water,day
5,2021-09-17T00:00:00Z,4_water,night
5,2021-09-17T00:00:00Z,4_land,night
5,2021-09-17T00:00:00Z,3_land,night
5,2021-09-17T00:00:00Z,3_water,night
5,2021-09-18T00:00:00Z,4_water,day
5,2021-09-18T00:00:00Z,4_water,night
5,2021-09-18T00:00:00Z,4_land,night
5,2021-09-18T00:00:00Z,3_land,night
5,2021-09-18T00:00:00Z,3_water,night
5,2021-09-19T00:00:00Z,6_water,day
5,2021-09-19T00:00:00Z,6_water,night
5,2021-09-19T00:00:00Z,6_land,night
5,2021-09-19T00:00:00Z,5_land,night
5,2021-09-19T00:00:00Z,5_water,night
5,2021-09-20T00:00:00Z,6_water,day
5,2021-09-20T00:00:00Z,6_water,night
5,2021-09-20T00:00:00Z,6_land,night
5,2021-09-20T00:00:00Z,5_land,night
5,2021-09-20T00:00:00Z,5_water,night
5,2021-09-21T00:00:00Z,6_water,day
5,2021-09-21T00:00:00Z,6_water,night
5,2021-09-21T00:00:00Z,6_land,night
5,2021-09-21T00:00:00Z,5_land,night
5,2021-09-21T00:00:00Z,5_water,night
5,2021-09-22T00:00:00Z,8_water,day
5,2021-09-22T00:00:00Z,8_water,night
5,2021-09-22T00:00:00Z,8_land,night
5,2021-09-22T00:00:00Z,7_land,night
5,2021-09-22T00:00:00Z,7_water,night
5,2021-09-23T00:00:00Z,lago_anta_water,day
5,2021-09-23T00:00:00Z,9_water,day
5,2021-09-23T00:00:00Z,9_water,night
5,2021-09-23T00:00:00Z,9_land,night
5,2021-09-23T00:00:00Z,lago_anta_water,night
5,2021-09-23T00:00:00Z,1_land,night
5,2021-09-23T00:00:00Z,1_water,night
5,2021-09-27T00:00:00Z,lago_angelim_water,night
5,2021-09-27T00:00:00Z,lago_sede_water,night
6,2021-10-11T00:00:00Z,9_water,night
6,2021-10-11T00:00:00Z,9_land,night
6,2021-10-11T00:00:00Z,1_land,night
6,2021-10-11T00:00:00Z,1_water,night
6,2021-10-11T00:00:00Z,lago_anta_water,night
6,2021-11-25T00:00:00Z,1_water,day
6,2021-11-25T00:00:00Z,1_water,night
6,2021-11-25T00:00:00Z,1_land,night
6,2021-11-25T00:00:00Z,2_water,night
6,2021-11-25T00:00:00Z,2_land,night
6,2021-11-26T00:00:00Z,1_water,day
6,2021-11-26T00:00:00Z,1_water,night
6,2021-11-26T00:00:00Z,1_land,night
6,2021-11-26T00:00:00Z,2_water,night
6,2021-11-26T00:00:00Z,2_land,night
6,2021-11-27T00:00:00Z,1_water,day
6,2021-11-27T00:00:00Z,1_water,night
6,2021-11-27T00:00:00Z,1_land,night
6,2021-11-27T00:00:00Z,2_water,night
6,2021-11-27T00:00:00Z,2_land,night
6,2021-11-28T00:00:00Z,6_water,day
6,2021-11-28T00:00:00Z,6_water,night
6,2021-11-28T00:00:00Z,6_land,night
6,2021-11-28T00:00:00Z,5_land,night
6,2021-11-28T00:00:00Z,5_water,night
6,2021-11-29T00:00:00Z,6_water,day
6,2021-11-29T00:00:00Z,6_water,night
6,2021-11-29T00:00:00Z,6_land,night
6,2021-11-29T00:00:00Z,5_land,night
6,2021-11-29T00:00:00Z,5_water,night
6,2021-11-30T00:00:00Z,6_water,night
6,2021-11-30T00:00:00Z,6_land,night
6,2021-11-30T00:00:00Z,lago_angelim_water,night
6,2021-11-30T00:00:00Z,5_land,night
6,2021-11-30T00:00:00Z,5_water,night
6,2021-12-01T00:00:00Z,3_water,day
6,2021-12-01T00:00:00Z,3_water,night
6,2021-12-01T00:00:00Z,3_land,night
6,2021-12-01T00:00:00Z,4_water,night
6,2021-12-01T00:00:00Z,4_land,night
6,2021-12-02T00:00:00Z,4_water,day
6,2021-12-02T00:00:00Z,4_water,night
6,2021-12-02T00:00:00Z,4_land,night
6,2021-12-02T00:00:00Z,3_land,night
6,2021-12-02T00:00:00Z,3_water,night
6,2021-12-02T00:00:00Z,lago_sede_water,night
6,2021-12-03T00:00:00Z,3_water,day
6,2021-12-03T00:00:00Z,3_water,night
6,2021-12-03T00:00:00Z,3_land,night
6,2021-12-03T00:00:00Z,4_water,night
6,2021-12-03T00:00:00Z,4_land,night
6,2021-12-04T00:00:00Z,8_water,day
6,2021-12-04T00:00:00Z,8_water,night
6,2021-12-04T00:00:00Z,8_land,night
6,2021-12-04T00:00:00Z,7_land,night
6,2021-12-04T00:00:00Z,7_water,night
7,2022-02-11T00:00:00Z,1_water,day
7,2022-02-11T00:00:00Z,1_water,night
7,2022-02-11T00:00:00Z,1_land,night
7,2022-02-11T00:00:00Z,2_water,night
7,2022-02-11T00:00:00Z,2_land,night
7,2022-02-12T00:00:00Z,1_water,night
7,2022-02-12T00:00:00Z,1_land,night
7,2022-02-12T00:00:00Z,2_water,night
7,2022-02-12T00:00:00Z,2_land,night
7,2022-02-13T00:00:00Z,1_water,night
7,2022-02-13T00:00:00Z,1_land,night
7,2022-02-13T00:00:00Z,2_water,night
7,2022-02-13T00:00:00Z,2_land,night
7,2022-02-14T00:00:00Z,3_water,night
7,2022-02-14T00:00:00Z,3_land,night
7,2022-02-14T00:00:00Z,4_water,night
7,2022-02-14T00:00:00Z,4_land,night
7,2022-02-15T00:00:00Z,3_water,night
7,2022-02-15T00:00:00Z,3_land,night
7,2022-02-15T00:00:00Z,4_water,night
7,2022-02-15T00:00:00Z,4_land,night
7,2022-02-16T00:00:00Z,3_water,night
7,2022-02-16T00:00:00Z,3_land,night
7,2022-02-16T00:00:00Z,4_water,night
7,2022-02-16T00:00:00Z,4_land,night
7,2022-02-18T00:00:00Z,6_water,night
7,2022-02-18T00:00:00Z,6_land,night
7,2022-02-18T00:00:00Z,5_land,night
7,2022-02-18T00:00:00Z,5_water,night
7,2022-02-19T00:00:00Z,5_water,night
7,2022-02-19T00:00:00Z,5_land,night
7,2022-02-19T00:00:00Z,6_water,night
7,2022-02-19T00:00:00Z,6_land,night
7,2022-02-19T00:00:00Z,lago_sede_water,night
7,2022-02-20T00:00:00Z,5_water,night
